scope,shell,rows,mean_w,var_w,std_w,min_w,max_w
LongA sites shell 2,2,82533,0.1832921046857864,0.00042619672108959,0.020644532474473478,0.16666666666666666,0.21666666666666667
LongA sites shell 3,3,82533,1.0,0.0,0.0,1.0,1.0
LongA sites shell 4,4,82533,0.18343259987647292,0.00042790662943336386,0.02068590412414608,0.16666666666666666,0.21666666666666667
LongA sites shell 2 residual X=w2-1/6,2,82533,0.016625438019119764,0.00042619672108959,0.020644532474473478,0.0,0.05000000000000002
LongA interval aggregate shell 2 bare sum,2,166,91.13040527730126,279376.47402861156,528.5607571780292,0.5003628447024694,6572.542580164397
