extreme,value,candidate_id,block_id,x,y,h,p_star,E_theta_sign,Q_R2Q,Q_delta_D,Q_exc,epsilon,epsilon_abs,row_regime,status
abs_epsilon_max,0.0257284509172872,hexc_00007,8,3452747,3451296,1451,3452747,negative,0.1383470038914393,0.1049756413821095,0.0076429115920426,0.0257284509172872,0.0257284509172872,finite_negative,pass
epsilon_min,-0.015568303370353805,hexc_00059,60,3290983,3290975,8,3291137,positive,0.0730965487832678,0.068097615704397,0.0205672364492246,-0.015568303370353805,0.015568303370353805,finite_positive,pass
epsilon_max,0.0257284509172872,hexc_00007,8,3452747,3451296,1451,3452747,negative,0.1383470038914393,0.1049756413821095,0.0076429115920426,0.0257284509172872,0.0257284509172872,finite_negative,pass
threshold_abs_epsilon_max,0.008682176944156815,hexc_00040,41,604672261,604520611,151650,604672261,negative,0.7568596623500748,0.7467076670478365,0.0014698183580815,0.008682176944156815,0.008682176944156815,threshold_relevant_negative,pass
forbidden_abs_epsilon_max,0.008004375573475095,hexc_00000,1,180530237,179845447,684790,180530237,negative,1.8193520399038576,1.8091175489119344,0.0022301154184481,0.008004375573475095,0.008004375573475095,forbidden_negative,pass
