candidate_id,block_id,x,y,h,p_star,right_endpoint,post_P0_flag,finite_certificate_flag,E_theta,E_theta_sign,Q_R2Q,near_forbidden_flag,forbidden_flag,channel_inferred,channel_full,C_minus_flag,O2_applicable_flag,B3_applicable_flag,coordinate_available_flag,D_left,D_right,D_mid_proxy,endpoint_line_left,endpoint_line_right,bridge_excursion_raw,bridge_excursion_absmax,Q_exc,Q_exc_source,V2,sqrt_V2,Q_exc_over_sqrt_V2,variance_proxy_source,endpoint_exclusion_flag,endpoint_exclusion_Q,endpoint_exclusion_harmful_flag,valid_scale_flag,bridge_rigidity_pass_flag,failure_type,status
hexc_00014,15,43133,43132,1,43133,43133,False,True,9.672043644375696,positive,0.0943896668138165,False,False,positive_harmless,positive_harmless,False,True,True,True,,,,,,,,,missing,0.0004263792000474,0.0206489515483821,,prime_mesh_r2q_hexc_v2_shell_variance_summary.csv,False,0.0,False,True,False,,pass
hexc_00015,16,58309,58308,1,58309,58309,False,True,9.973511734352114,positive,0.0939517191622745,False,False,positive_harmless,positive_harmless,False,True,True,True,,,,,,,,,missing,0.0004263792000474,0.0206489515483821,,prime_mesh_r2q_hexc_v2_shell_variance_summary.csv,False,0.0,False,True,False,,pass
hexc_00016,17,59333,59332,1,59333,59333,False,True,9.990920922612805,positive,0.0929815072257821,False,False,positive_harmless,positive_harmless,False,True,True,True,,,,,,,,,missing,0.0004263792000474,0.0206489515483821,,prime_mesh_r2q_hexc_v2_shell_variance_summary.csv,False,0.0,False,True,False,,pass
hexc_00017,18,3241093,3239129,1964,3241093,3241093,False,True,-165.06704136906455,negative,0.159654089699117,False,False,neutral,negative_transferred_repaid,True,True,True,True,-1080.182066429391,-2475.688277714416,,-1080.182066429391,-2475.688277714416,81.42228980252094,81.42228980252094,0.0081749848918229,existing_o2p3,0.0004263792000474,0.0206489515483821,0.3959031465916453,prime_mesh_r2q_hexc_v2_shell_variance_summary.csv,True,0.0,False,True,True,,pass
hexc_00018,19,1515197,1513853,1344,1515197,1515197,False,True,-63.24655312102391,negative,0.1510851987794436,False,False,neutral,negative_transferred_repaid,True,True,True,True,-753.3241327486062,-1758.088336176791,,-753.3241327486062,-1758.088336176791,76.78974942550394,76.78974942550394,0.0103425912084517,existing_o2p3,0.0004263792000474,0.0206489515483821,0.5008773052819755,prime_mesh_r2q_hexc_v2_shell_variance_summary.csv,True,0.0,False,True,True,,pass
hexc_00019,20,58511,58510,1,58511,58511,False,True,9.97697004973177,positive,0.0923670994574258,False,False,positive_harmless,positive_harmless,False,True,True,True,,,,,,,,,missing,0.0004263792000474,0.0206489515483821,,prime_mesh_r2q_hexc_v2_shell_variance_summary.csv,False,0.0,False,True,False,,pass
hexc_00020,21,30847123,30831334,15789,30847123,30847123,False,True,-424.33160930738086,negative,0.338124053326903,False,False,neutral,negative_transferred_repaid,True,True,True,True,-3291.774805658332,-15413.68237434975,,-3291.774805658332,-15413.68237434975,225.3338417937175,225.3338417937175,0.0060303868534807,existing_o2p3,0.0004263792000474,0.0206489515483821,0.2920432468133326,prime_mesh_r2q_hexc_v2_shell_variance_summary.csv,True,0.0,False,True,True,,pass
hexc_00021,22,60209,60208,1,60209,60209,False,True,10.005577121783782,positive,0.0940510554686493,False,False,positive_harmless,positive_harmless,False,True,True,True,,,,,,,,,missing,0.0004263792000474,0.0206489515483821,,prime_mesh_r2q_hexc_v2_shell_variance_summary.csv,False,0.0,False,True,False,,pass
hexc_00022,23,354553,354550,3,354619,354553,False,True,22.55722059933116,positive,0.0920232096308952,False,False,positive_harmless,positive_harmless,False,True,True,True,,,,,,,,,missing,0.0004263792000474,0.0206489515483821,,prime_mesh_r2q_hexc_v2_shell_variance_summary.csv,False,0.0,False,True,False,,pass
hexc_00023,24,180619079,180557417,61662,180619079,180619079,False,True,-1166.673386312199,negative,0.5459231094474968,False,False,neutral,negative_transferred_repaid,True,True,True,True,-7832.904115998194,-55664.72449150575,,-7832.904115998194,-55664.72449150575,459.0970686143192,459.0970686143192,0.0051149881925594,existing_o2p3,0.0004263792000474,0.0206489515483821,0.24771176301976325,prime_mesh_r2q_hexc_v2_shell_variance_summary.csv,True,0.0,False,True,True,,pass
