block_id,p_star,y,h,t,offset,offset_frac,D_t,line_t,diff,abs_diff,residual_slope_prev,Q_exc_interval,shape_class
5,356077,355293,784,355293,0.0,0.0,-445.57865085028266,-445.57865085028266,0.0,0.0,,0.012866187364944506,small_absolute_excursion
5,356077,355293,784,355294,1.0,0.0012755102040816326,-445.43493971028266,-446.3675335884698,0.9325938781871628,0.9325938781871628,0.9325938781871628,0.012866187364944506,small_absolute_excursion
5,356077,355293,784,355295,2.0,0.002551020408163265,-445.11158964528266,-447.156416326657,2.0448266813743317,2.0448266813743317,1.1122328031871689,0.012866187364944506,small_absolute_excursion
5,356077,355293,784,355296,3.0,0.003826530612244898,-444.9046456036826,-447.9452990648441,3.0406534611615257,3.0406534611615257,0.995826779787194,0.012866187364944506,small_absolute_excursion
5,356077,355293,784,355297,4.0,0.00510204081632653,-457.3620048770873,-448.7341818030313,-8.627823074056039,8.627823074056039,-11.668476535217565,0.012866187364944506,small_absolute_excursion
5,356077,355293,784,355298,5.0,0.006377551020408163,-457.36200487704633,-449.52306454121845,-7.8389403358278855,7.8389403358278855,0.7888827382281534,0.012866187364944506,small_absolute_excursion
5,356077,355293,784,355299,6.0,0.007653061224489796,-457.03865481204633,-450.3119472794056,-6.726707532640717,6.726707532640717,1.1122328031871689,0.012866187364944506,small_absolute_excursion
5,356077,355293,784,355300,7.0,0.008928571428571428,-456.8949436720464,-451.1008300175927,-5.7941136544536676,5.7941136544536676,0.9325938781870491,0.012866187364944506,small_absolute_excursion
5,356077,355293,784,355301,8.0,0.01020408163265306,-456.5715936070464,-451.8897127557799,-4.681880851266499,4.681880851266499,1.1122328031871689,0.012866187364944506,small_absolute_excursion
5,356077,355293,784,355303,10.0,0.012755102040816327,-456.2470910356886,-453.46747823215424,-2.7796128035343486,2.7796128035343486,0.951134023866075,0.012866187364944506,small_absolute_excursion
5,356077,355293,784,355305,12.0,0.015306122448979591,-455.8931279467832,-455.0452437085285,-0.8478842382546645,0.8478842382546645,0.965864282639842,0.012866187364944506,small_absolute_excursion
5,356077,355293,784,355307,14.0,0.017857142857142856,-468.2068042252589,-456.62300918490286,-11.583795040356051,11.583795040356051,-5.367955401050693,0.012866187364944506,small_absolute_excursion
5,356077,355293,784,355309,16.0,0.02040816326530612,-467.88345416021787,-458.20077466127714,-9.682679498940729,9.682679498940729,0.9505577707076611,0.012866187364944506,small_absolute_excursion
5,356077,355293,784,355310,17.0,0.021683673469387755,-467.88065610665376,-458.9896573994643,-8.890998707189453,8.890998707189453,0.7916807917512756,0.012866187364944506,small_absolute_excursion
5,356077,355293,784,355314,21.0,0.026785714285714284,-466.9846611419599,-462.1451883522129,-4.839472789746992,4.839472789746992,1.0128814793606153,0.012866187364944506,small_absolute_excursion
