metric,rank,candidate_id,block_id,p_star,h,post_P0_flag,value,K_prime,spectral_bound_over_h,spectral_tightness,rayleigh_over_h,top_eigenvalue_over_h,top_eigenvector_alignment,effective_rank,event_count,sample_count
K_prime,1,hexc_00304,305,30386821,13,False,73.9100313047598,73.9100313047598,580.75371466657,7.857576358909884,0.062243970421900996,0.4890867504718154,0.17464265053431005,1.863292916268869,4,12
K_prime,2,hexc_00453,454,604143557,767,True,64.24988591171167,64.24988591171167,1461.040499725632,22.739970336029945,0.004490256518987577,0.10210830004294258,0.1981998612645823,2.5053906494074845,35,37
K_prime,3,hexc_00442,443,604711937,771,True,59.23603287892971,59.23603287892971,1521.5429499552743,25.686104825167785,0.004261215394666832,0.10945402531003097,0.1729034597372131,2.478919848039764,34,37
K_prime,4,hexc_00275,276,108562291,313,False,56.08396418864813,56.08396418864813,772.923585780921,13.781543387002007,0.01023864059912228,0.14110426964072392,0.029815957663079568,2.0791090875750196,16,33
K_prime,5,hexc_00081,82,12782599,494,False,55.20495342984063,55.20495342984063,879.1163542468977,15.924591900329325,0.007929555504713916,0.12627493536357906,0.2282064664456479,2.5926473562925554,26,36
K_prime,6,hexc_00355,356,33821677,7,False,55.20452323086658,55.20452323086658,412.6907602363456,7.475669312647868,0.061224490259990605,0.45769404301912,0.13232804383634733,1.7504553734061943,3,8
K_prime,7,hexc_00242,243,30781319,7,False,54.60627873649688,54.60627873649688,408.2184819041287,7.47566930671088,0.06122449030861354,0.45769404301912,0.13232804427735734,1.7504553734061943,3,8
K_prime,8,hexc_00198,199,39635819,218,False,51.8915269739468,51.8915269739468,860.7994338596963,16.58843907776848,0.01210956693093378,0.2008788132919548,0.21869672345618263,2.327286404125838,14,35
K_prime,9,hexc_00662,663,604872131,4,True,51.1087169203916,51.1087169203916,219.90934200484216,4.3027756370284,0.06250000001022005,0.2689234773582496,0.2897841487666825,1.3157894736842108,2,5
K_prime,10,hexc_00026,27,1192781,458,False,50.66738569136996,50.66738569136996,983.4854689056996,19.410621951098893,0.008627272253634842,0.1674607201845109,0.21773570473796156,2.4486450601626886,30,35
K_prime,11,hexc_00273,274,109547591,776,False,47.57965339891258,47.57965339891258,1270.304571757145,26.698483091223554,0.0038567224770555157,0.10296863984120852,0.18215537483410169,2.680323186120996,36,37
K_prime,12,hexc_00059,60,3291137,8,False,47.5033278218918,47.5033278218918,288.4117903765746,6.0714018070047855,0.07031251096785812,0.4268955061452976,0.289566221076704,1.6647922524211185,3,9
K_prime,13,hexc_00303,304,604870961,1710,True,45.48807574882615,45.48807574882615,2244.5364363027593,49.34340262482264,0.0014833768000711467,0.07319485869023162,0.12364198661498979,2.9232838776767385,75,36
K_prime,14,hexc_00673,674,187509659,4,False,45.359671130370074,45.359671130370074,195.17248776601042,4.302775635322779,0.06250000003499508,0.2689234773582496,0.289784148956378,1.3157894736842108,2,5
K_prime,15,hexc_00322,323,179438351,4,False,45.150375852758906,45.150375852758906,194.27193713976092,4.302775635208582,0.06250000003665383,0.2689234773582496,0.2897841489690788,1.3157894736842108,2,5
K_prime,16,hexc_00444,445,179382319,4,False,45.14888968695817,45.14888968695817,194.26554250172617,4.302775635207752,0.06250000003666589,0.2689234773582496,0.2897841489691714,1.3157894736842108,2,5
K_prime,17,hexc_00525,526,179146433,4,False,45.142639412569515,45.142639412569515,194.2386489732154,4.302775635204254,0.0625000000367167,0.2689234773582496,0.28978414896956023,1.3157894736842108,2,5
K_prime,18,hexc_00448,449,178913689,4,False,45.1364651387445,45.1364651387445,194.21208245807975,4.302775635200792,0.06250000003676699,0.2689234773582496,0.2897841489699452,1.3157894736842108,2,5
K_prime,19,hexc_00423,424,178907011,4,False,45.13628574684368,45.13628574684368,194.21131057497533,4.302775635200693,0.06250000003676842,0.2689234773582496,0.2897841489699563,1.3157894736842108,2,5
K_prime,20,hexc_00459,460,178299217,4,False,45.12012021068158,45.12012021068158,194.1417538994372,4.302775635191609,0.06250000003690037,0.2689234773582496,0.28978414897096666,1.3157894736842108,2,5
spectral_bound_over_h,1,hexc_00000,1,180530237,684790,False,487174.61093316163,4.2422572628382875,487174.61093316163,114838.53541857497,3.2735856737309205e-07,0.03759337843384879,0.0007916058342474636,2.7265104566765035,35864,41
spectral_bound_over_h,2,hexc_00040,41,604672261,151650,True,119516.0554431092,2.1504475741786093,119516.0554431092,55577.29324731847,7.088585359010924e-07,0.03939643872063984,0.0010590006559566651,2.7725612146368874,7420,41
spectral_bound_over_h,3,hexc_00006,7,30774449,104130,False,84396.01795032225,5.2493680971415095,84396.01795032225,16077.367101819216,2.950329231534745e-06,0.04743352612661228,0.0039400282926729605,2.7881261477872843,5986,41
spectral_bound_over_h,4,hexc_00002,3,30974597,64413,False,54212.27107618995,2.123480173174438,54212.27107618995,25529.91629544947,1.9422371715622123e-06,0.049585152415893806,0.0010245321873973518,2.861639985536571,3676,41
spectral_bound_over_h,5,hexc_00023,24,180619079,61662,False,50553.33110225562,14.8875268699018,50553.33110225562,3395.683617838473,1.2944315269216204e-05,0.043954799303813866,0.012102391560622117,2.7914373117597413,3182,41
spectral_bound_over_h,6,hexc_00063,64,604810421,53021,True,44948.33928876992,2.1420864345912927,44948.33928876992,20983.438652579865,2.0377749152049087e-06,0.04275952492096834,0.0029406780682611116,2.8327384666763575,2571,41
spectral_bound_over_h,7,hexc_00009,10,178298621,43765,False,35848.05790482545,3.625948703216957,35848.05790482545,9886.532005546826,4.543373039781753e-06,0.044918202970940874,0.004389654502931352,2.8112079476349567,2211,40
spectral_bound_over_h,8,hexc_00024,25,109813367,23159,False,20781.926401515135,8.632103006925288,20781.926401515135,2407.5160346027374,2.0778047940193146e-05,0.050023483583759375,0.015124042733245892,2.869265752395465,1212,41
