block_id,p_star,y,h,t,offset,D_t,line_t,diff,abs_diff,Q_delayed_proxy
9,12883477,12871995,11482,12871995,0.0,-2412.5263892811627,-2412.5263892811627,0.0,0.0,0.304863580784703
9,12883477,12871995,11482,12871996,1.0,-2412.3826781411626,-2413.2791416958325,0.8964635546699355,0.8964635546699355,0.304863580784703
9,12883477,12871995,11482,12871997,2.0,-2412.0593280761623,-2414.0318941105024,1.9725660343401614,1.9725660343401614,0.304863580784703
9,12883477,12871995,11482,12871998,3.0,-2412.058778219532,-2414.7846465251723,2.7258683056402333,2.7258683056402333,0.304863580784703
9,12883477,12871995,11482,12871999,4.0,-2411.735428154532,-2415.537398939842,3.8019707853100044,3.8019707853100044,0.304863580784703
9,12883477,12871995,11482,12872000,5.0,-2411.629844459838,-2416.290151354512,4.66030689467425,4.66030689467425,0.304863580784703
9,12883477,12871995,11482,12872001,6.0,-2411.306494394837,-2417.042903769182,5.73640937434493,5.73640937434493,0.304863580784703
9,12883477,12871995,11482,12872003,8.0,-2427.209998390556,-2418.5484085985217,-8.661589792034192,8.661589792034192,0.304863580784703
9,12883477,12871995,11482,12872005,10.0,-2426.886648325556,-2420.0539134278615,-6.832734897694536,6.832734897694536,0.304863580784703
9,12883477,12871995,11482,12872006,11.0,-2426.679704283956,-2420.8066658425314,-5.8730384414247965,5.8730384414247965,0.304863580784703
9,12883477,12871995,11482,12872009,14.0,-2425.889293013956,-2423.064923086541,-2.824369927414864,2.824369927414864,0.304863580784703
9,12883477,12871995,11482,12872011,16.0,-2425.5480412152538,-2424.570427915881,-0.9776132993729334,0.9776132993729334,0.304863580784703
9,12883477,12871995,11482,12872014,19.0,-2425.080978978241,-2426.8286851598905,1.7477061816493915,1.7477061816493915,0.304863580784703
9,12883477,12871995,11482,12872020,25.0,-2423.75930276264,-2431.34519964791,7.585896885269904,7.585896885269904,0.304863580784703
9,12883477,12871995,11482,12872027,32.0,-2438.691928991858,-2436.614466550599,-2.077462441258831,2.077462441258831,0.304863580784703
9,12883477,12871995,11482,12872037,42.0,-2452.98942489182,-2444.1419906972983,-8.847434194521611,8.847434194521611,0.304863580784703
9,12883477,12871995,11482,12872050,55.0,-2483.046799961992,-2453.927772088007,-29.119027873985033,29.119027873985033,0.304863580784703
9,12883477,12871995,11482,12872059,64.0,-2497.6140460712745,-2460.7025438200358,-36.911502251238744,36.911502251238744,0.304863580784703
9,12883477,12871995,11482,12872067,72.0,-2495.9556593248544,-2466.724563137395,-29.23109618745957,29.23109618745957,0.304863580784703
9,12883477,12871995,11482,12872089,94.0,-2524.128066324504,-2483.2851162601323,-40.84295006437151,40.84295006437151,0.304863580784703
9,12883477,12871995,11482,12872117,122.0,-2534.652319098491,-2504.3621838708896,-30.29013522760124,30.29013522760124,0.304863580784703
9,12883477,12871995,11482,12872123,128.0,-2533.5079447395856,-2508.878698358909,-24.629246380676705,24.629246380676705,0.304863580784703
9,12883477,12871995,11482,12872155,160.0,-2576.158191388632,-2532.966775628345,-43.19141576028687,43.19141576028687,0.304863580784703
9,12883477,12871995,11482,12872204,209.0,-2598.896426834614,-2569.85164394717,-29.044782887443944,29.044782887443944,0.304863580784703
9,12883477,12871995,11482,12872268,273.0,-2634.835973565826,-2618.027798486043,-16.808175079782814,16.808175079782814,0.304863580784703
9,12883477,12871995,11482,12872351,356.0,-2683.021912217088,-2680.5062489036445,-2.5156633134433832,2.5156633134433832,0.304863580784703
9,12883477,12871995,11482,12872461,466.0,-2775.1490036639384,-2763.3090145173323,-11.839989146606058,11.839989146606058,0.304863580784703
9,12883477,12871995,11482,12872603,608.0,-2844.196787157293,-2870.199857400457,26.003070243164075,26.003070243164075,0.304863580784703
9,12883477,12871995,11482,12872789,794.0,-3002.374375790335,-3010.211806529057,7.837430738722105,7.837430738722105,0.304863580784703
9,12883477,12871995,11482,12873033,1038.0,-3230.729592502045,-3193.8833957085108,-36.84619679353409,36.84619679353409,0.304863580784703
9,12883477,12871995,11482,12873350,1355.0,-3427.620967136543,-3432.5059111588666,4.884944022323452,4.884944022323452,0.304863580784703
