row_regime,post_P0_by_pstar,finite_zone_flag,high_energy,threshold_relevant,forbidden,h_bin,p_star_bin,rows,C_bridge_max,C_bridge_q95,B_abs_max,B_L2_exported_max,increment_centered_sqsum_max,A_centered_sqsum_over_sqrt_h_max,increment_centered_rms_max,R_inc_max,C_bridge_over_centered_increment_rms_max,increment_abs_max,increment_centered_abs_max,failures
finite_negative,False,True,False,False,False,101<=h<=1k,100M<=p<500M,16,7.5172957888070675,7.060961489344353,85.04043423152143,192.45829226292332,39606.446750558025,6.345852973688005,32.71764824634922,1.4980854691711376,0.4790042998537543,143.52054265772313,124.02444046425467,0
finite_negative,False,True,False,False,False,101<=h<=1k,10M<=p<100M,21,6.488095069490741,6.067760230348137,99.80769344228564,181.85220202176274,34193.300059605426,6.28855483923181,30.862465514583413,1.5815508146492476,0.4313844723824608,132.68842170384778,113.60297575530174,0
finite_negative,False,True,False,False,False,101<=h<=1k,1M<=p<10M,3,3.5482542969118818,3.478763521510031,32.04545306747309,67.63060938664081,12995.304519492922,4.783205750605799,18.740983071140683,0.7437100078102202,0.22611349743380316,65.59766260048946,57.529548981848656,0
finite_negative,False,True,False,False,False,10k<h<=100k,100M<=p<500M,8,3.972523031931926,3.9680109148792653,459.0970686143192,958.0629698913689,304666201.6487337,70.29158488878858,2759.8288065056395,0.1633363449328603,0.009844046576503698,12984.23713881152,11788.441629423833,0
finite_negative,False,True,False,False,False,10k<h<=100k,10M<=p<100M,4,2.507968798244117,2.4625800304444216,225.3338417937175,369.5236255408819,330635628.88437426,71.64535881706283,2875.0462121693554,0.07792520681522777,0.004043326913464147,13436.422425194578,12182.296865000619,0
finite_negative,False,True,False,False,False,1k<h<=10k,100M<=p<500M,30,6.487786304142406,5.930165791632101,335.81014783297,413.5422999525791,5452322.547953147,23.35721709771189,373.90258391084825,0.9417906216400713,0.15887675065123444,1523.2335197846078,1337.5715551555559,0
finite_negative,False,True,False,False,False,1k<h<=10k,10M<=p<100M,26,5.703211321141017,5.451249853451063,231.2263682727644,358.15245506035376,3953253.16448559,21.805799401327516,322.541436117561,0.8472808029821252,0.16265273571946823,1385.9573836396448,1217.8518165104283,0
finite_negative,False,True,False,False,False,1k<h<=10k,1M<=p<10M,10,4.735639977082923,4.687072095518136,89.51022293063807,209.01293049349786,428741.01714805677,11.897285412266804,109.13053055198226,0.6753057964007327,0.11410224372633579,427.87999808632276,364.19449664348735,0
finite_negative,False,True,True,False,False,101<=h<=1k,10M<=p<100M,1,7.438244050688833,7.438244050688833,64.68278396224969,165.32323621154507,8086.905420816292,4.046017040039758,15.20047501214193,1.8384114493535968,0.48934286887398365,57.37208903044166,48.12081659466453,0
finite_negative,False,True,True,False,False,101<=h<=1k,1M<=p<10M,4,7.128590769352836,7.0426577113928825,72.48431875885103,161.54895101900416,17090.79767764902,4.630757148262524,21.78862960203544,1.91757864004104,0.6221446642349039,81.40940510930477,68.45820238851493,0
finite_negative,False,True,True,False,False,101<=h<=1k,p<1M,1,4.659963846370241,4.659963846370241,58.86631372712248,130.47898769836704,25486.590340262912,5.701614336857037,26.607533571999507,0.8173060419479395,0.1751370089888438,105.0594368478612,87.87932388289647,0
finite_positive,False,True,False,False,False,101<=h<=1k,10M<=p<100M,9,7.2093575037210575,6.801086594466395,39.8658336198373,114.99863391572202,16540.752839438905,5.569343845138933,22.056580210262254,1.7454223300079679,0.6893054932623318,99.97516501478685,85.78682376566678,0
finite_positive,False,True,False,False,False,101<=h<=1k,1M<=p<10M,2,4.4995847987826165,4.496666058904642,57.481088754737584,128.13945366718403,41330.37420408525,7.138783999842409,33.883121906245286,0.7831808013343877,0.2274830111055181,181.1472363465175,161.93397088733485,0
finite_positive,False,True,False,False,False,11<=h<=100,100M<=p<500M,1,6.0308749175919,6.0308749175919,13.164333829767202,22.56546768411746,932.2214502593082,8.160100884614934,8.468136886449054,0.7390686711928441,0.7121843917335196,18.187820194366395,12.70559230906691,0
finite_positive,False,True,False,False,False,11<=h<=100,10M<=p<100M,1,5.597908978702753,5.597908978702753,12.237202579598945,22.391635914811076,748.5928196359652,6.840106083040513,7.312380986264544,0.8183950527583672,0.7655384736131464,16.04226021524937,11.611501730570662,0
finite_positive,False,True,False,False,False,2<=h<=10,100M<=p<500M,23,6.671592040126676,6.656025378244917,9.4707785115379,13.343184080253373,353.36933628974805,9.399060276029568,9.399060276029568,0.7098956561614725,0.7098956561614695,18.72599031840855,12.459117402632728,0
finite_positive,False,True,False,False,False,2<=h<=10,10M<=p<100M,23,7.389235181064235,7.227275261823569,12.35249588295892,19.550078668065368,503.1066891472788,8.637280774730616,8.637280774730616,0.8716331957391806,0.8716331957391786,17.20240710965436,11.467873462876318,0
finite_positive,False,True,False,False,False,2<=h<=10,1M<=p<10M,9,5.514345714148036,5.262593442222014,7.834141926083248,11.028691428296115,241.02268434122314,7.762452646252071,7.762452646252071,0.7108129949644949,0.7108129949644939,15.452717282946423,10.296622973734125,0
finite_positive,False,True,False,False,False,2<=h<=10,p<1M,4,3.393602363465138,3.3932319885185995,4.156299872471152,5.877891714207455,103.64883301181405,5.877891714206551,5.87789171420655,0.5773502691898484,0.5773502691898467,12.468894052821838,8.312594180390724,0
finite_positive,False,True,False,False,False,h=1,100M<=p<500M,451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,18.725994894165524,0.0,0
finite_positive,False,True,False,False,False,h=1,10M<=p<100M,449,4.547473508864642e-13,0.0,4.547473508864641e-13,4.5474735088646407e-13,0.0,0.0,0.0,,,17.823211953696955,0.0,0
finite_positive,False,True,False,False,False,h=1,1M<=p<10M,168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,15.454870305546137,0.0,0
finite_positive,False,True,False,False,False,h=1,p<1M,56,5.684341886080802e-14,0.0,5.684341886080803e-14,5.684341886080802e-14,0.0,0.0,0.0,,,13.398154162778496,0.0,0
finite_positive,False,True,True,False,False,101<=h<=1k,1M<=p<10M,1,5.8364080193795465,5.8364080193795465,35.651017552909366,83.56464567374776,4786.4121407224175,4.832013235284338,12.425795412616733,1.2078625896057016,0.4697009588177715,49.522766005279436,43.659560190213725,0
finite_positive,False,True,True,False,False,11<=h<=100,10M<=p<100M,1,8.580752479596955,8.580752479596955,18.50388997128084,30.93834304725165,743.6733125450253,7.56344097792403,8.222327211733942,1.1345037932658222,1.043591705685406,16.906165143644102,10.875567469326803,0
finite_positive,False,True,True,False,False,2<=h<=10,1M<=p<10M,1,6.864752116121557,6.864752116121557,13.100680718981152,19.416451089897027,411.7849553601712,7.174476944002357,7.174476944002357,0.9568296294910087,0.9568296294910084,14.683346797309014,9.261342708004065,0
finite_positive,False,True,True,False,False,2<=h<=10,p<1M,1,2.6590384376271583,2.6590384376271583,3.256685045547357,4.605589673248806,63.634368708166335,4.605589673001216,4.605589673001216,0.5773502692206633,0.5773502692206632,9.769972414806603,6.513287378108724,0
forbidden_negative,False,True,False,True,True,h>100k,100M<=p<500M,1,2.059215174853389,2.059215174853389,667.0135370697717,1704.0425497324798,48227831145.99829,265.38120455170895,34723.13031179587,0.007759461256240474,5.930384606349413e-05,172553.72525997355,159026.33240294346,0
post_P0_negative_tail,True,False,False,False,False,101<=h<=1k,p>=500M,4,8.008560508629008,7.962276485274223,76.23714683878461,221.79520005948183,26822.382303571914,5.898227030710173,27.29590033501771,1.4609419049190016,0.31650932865989323,139.21207013449202,124.51706095713583,0
post_P0_negative_tail,True,False,False,False,False,10k<h<=100k,p>=500M,3,3.217020248908076,3.194666194767194,311.51713925927834,462.692068297118,218839774.98834562,64.24497619769487,2339.0156850069734,0.08488016962529034,0.0036855328127621944,10841.113244954278,9813.671864832491,0
post_P0_negative_tail,True,False,False,False,False,1k<h<=10k,p>=500M,14,6.763592223850025,6.1887786639447,195.88185471513864,404.5473698590188,2171740.580965627,18.640775009491968,235.97808356327408,0.8843141791613153,0.12651515606523686,879.3789404999898,761.947802762879,0
post_P0_positive_tail,True,False,False,False,False,2<=h<=10,p>=500M,3,7.085660762263412,6.918626942224029,10.056372108580035,14.171321524526851,398.7726084824825,9.984645818486534,9.984645818486534,0.7096556944608241,0.7096556944608229,19.897177508806635,13.264777069160724,0
post_P0_positive_tail,True,False,False,False,False,h=1,p>=500M,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,19.89719774428704,0.0,0
threshold_relevant_negative,False,True,False,True,False,h>100k,10M<=p<100M,1,2.2898667182106016,2.2898667182106016,363.3590972929378,738.9212209105052,928860892.1827285,94.4468341286783,4818.871476245056,0.024245034143662296,0.00047518733991945,22677.743380095708,20632.32570026362,0
threshold_relevant_negative,True,False,False,True,False,h>100k,p>=500M,1,1.4656777515477335,1.4656777515477335,234.02143940953465,570.7681134270679,2034418015.379563,115.82408797947872,7131.651308391983,0.012654343125995015,0.00020551730422139903,34336.83883907985,31364.607574926406,0
